treatment,timeline_component,split_point,split_point_lwr,split_point_upr,split_point_diff
pollution,behaviour,17.525026865324854,17.1722974935378,17.747432546251922,364.65277221108886
pollution,morphology,18.30998809212628,18.15853082977549,18.83077967529261,395.2058784235137
pollution,abundance,19.175458162702217,18.589756324242686,19.306788214109375,409.5565798263193
predator,behaviour,16.09599488832738,15.823774360314834,16.308840144056227,329.93333333333334
predator,morphology,15.512305770962215,15.239078882402485,15.733705091342104,329.93333333333334
predator,abundance,17.4847724434376,17.161730707792398,17.76655339664837,338.26599866399465
